id,title,timestamp,user,bot,minor,change,comment
1842384342,Pich Sambath,1731926427,Lenkhmer,False,False,299,/* Kun Khmer Record */
1842384343,Talk:Zimbabwe at the 2015 World Aquatics Championships,1731926429,MSGJ,False,False,-48,redundant parameters
1842384346,2024 Formula Pro USA Western Championship,1731926428,Hmnphl,False,False,296,/* Drivers' standings */
1842384347,Martin Ádám,1731926428,5.204.36.61,False,False,-1,/* Club */
1842384348,Nelly Korda,1731926425,Ajslacy92,False,False,4,/* LPGA Tour wins (15) */
1842384349,Congressional Solar Caucus,1731926430,TiWash,False,False,145,"/* Members, 118th Congress */"
1842384352,Doce River,1731926429,IvanScrooge98,False,False,-11,
1842384353,User talk:Sean.hoyland,1731926431,Sean.hoyland,False,False,790,/* Looking for a tool */
1842384356,Territory of the Military Commander in Serbia,1731926426,Shadow4ya,False,False,-32,"one of governments flags, not of territory itself"
1842384358,User:Hphan2625,1731926433,Hphan2625,False,False,-6,/* top */
1842384361,Deadlock (video game),1731926432,Leetchr,False,True,-83,"external links to store page and forums, clarified purpose of discord server"
1842384362,"Talk:List of acts of the Parliament of Scotland, 1440–1449",1731926434,Bot1058,True,False,-10,[[User:Bot1058|Task 4]]: Syncing unsynchronized talk page redirect – double redirect bypass from [[Talk:List of acts of the Parliament of Scotland from 1440]] to [[Talk:List of acts of the Parliament of Scotland]]
1842384363,Philip Kapleau,1731926432,Allllllice,False,False,323,
1842384365,Mohaisen Al-Jam'an,1731926433,2A02:CB80:4204:16E9:5A8A:12EB:DFBB:1AB1,False,False,34,/* Honours */
1842384366,List of 1996 motorsport champions,1731926436,SquirrelIAm,False,False,11,/* Rallying */
1842384367,Pakistani cricket team in Australia in 2024–25,1731926435,Sush150,False,False,126,
1842384369,Samoan language,1731926427,220.233.199.254,False,False,4,
1842384376,"Those women longed for the touch of others' lips, and thus invited their kisses.",1731926438,Cakelot1,False,False,71,"Redirecting to [[Those women longed for the touch of others' lips, and thus invited their kisses]] ([[User:Wugapodes/Capricorn|♑]])"
1842384377,Jonathan Swift (judge),1731926437,Bram880,False,False,0,/* High Court career */ Punctuation
1842384378,Doce River,1731926438,IvanScrooge98,False,False,1,
1842384385,Rimo massif,1731926430,203.56.147.69,False,False,-3,/* top */location mostmy in Indian controlled territory
1842384386,Congressional Solar Caucus,1731926443,TiWash,False,False,2,"/* Members, 118th Congress */"
1842384388,Rahim Beqiri,1731926445,FromCzech,False,True,-7,"[[MOS:RANGE]], rm detail redundant for the infobox"
1842384389,Ken Gill (rugby league),1731926445,Jkaharper,False,False,538,death + source
1842384390,Draft:Eteri Chkadua,1731926445,Quipa,False,True,0,/* Education */
1842384391,"George Island Landing, Maryland",1731926446,Marcus Markup,False,False,-53,"Restored revision 1167020175 by [[Special:Contributions/Ser Amantio di Nicolao|Ser Amantio di Nicolao]] ([[User talk:Ser Amantio di Nicolao|talk]]): Per [[MOS:PRON]], under the ""Appropriate use"" section, it says, ""For English words and names, pronunciation should normally be omitted for common words or when obvious from the spelling"""
1842384395,Draft:Waziri Adio,1731926447,Ethan123n,False,False,-709,Addition of references
1842384397,Death of Ayrton Senna,1731926447,81.111.173.5,False,False,10,/* Background */
1842384398,2024 Nepal Premier League,1731926445,2405:ACC0:169:18B3:E1C8:105C:795D:FB44,False,False,2,/* Squads */
1842384399,List of birds of Ashmore Reef,1731926448,Onel5969,False,True,25,Disambiguating links to [[Barn owl]] (link changed to [[Eastern barn owl]]; link changed to [[Eastern barn owl]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
1842384400,List of 1996 motorsport champions,1731926448,SquirrelIAm,False,False,24,/* Rallying */
1842384401,Dionela,1731926449,AnomieBOT,True,True,-5,Dating maintenance tags: {{Use Philippine English}}
1842384402,List of Running Man episodes (2024),1731926449,139.194.75.235,False,False,451,It is already aired and preview for next week episode was already aired as well. there's no need to undo this.
1842384404,Tomáš Petříček,1731926450,77.158.88.39,False,False,2,/* Foreign policy positions */
1842384406,Razor and blades model,1731926451,GuccizBud,False,True,114,/* Printers */ Copy edit ▸ Content ▸ Detail added to serve as example.
1842384407,2021 in arthropod paleontology,1731926442,Ta-tea-two-te-to,False,False,32,Images
1842384412,Rio Quente,1731926452,IvanScrooge98,False,False,13,
1842384413,Allemond,1731926451,Finlay McWalter,False,False,-1,"/* External links */ per its documentation, commonscat goes at the top of the last section"
1842384414,The Colbert Report,1731926447,Citation bot,True,False,120,"Add: date, title. Changed bare reference to CS1/2. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Spinixster | [[Category:American news parodies]] | #UCB_Category 14/44"
1842384415,Wikipedia:Articles for deletion/Haruki Umemura (2nd nomination),1731926454,GiantSnowman,False,False,213,delete
1842384417,Talk:Ithaca Bus Station,1731926454,MSGJ,False,False,-48,rmv unused parameters
1842384418,Beed,1731926452,Ileagae,False,False,256,
1842384420,Pinaka multi-barrel rocket launcher,1731926449,Aviator Jr,False,True,29,
1842384419,Dela Botri,1731926454,Richard Oppong Ansong,False,False,148,
1842384421,Foreign relations of Israel,1731926444,TheFreeWorld,False,False,26,/* Haiti */
1842384422,2024 FIFA Intercontinental Cup final,1731926455,Island92,False,False,-52,
1842384428,Ambiguity tolerance–intolerance,1731926457,Bplange,False,False,1178,"Expanded introduction to give a more explicit definition, mention issues of definition, and mention its relationship to authoritarian personality. In the history section, I split up the big chunk of text, re-ordered the section to be chronological and got rid of some irrelevant information. I deleted the operationalization and measurement section and folded it into Definitions and Measurement since they're related and the section was small. Various edits for clarity to all sections in addition."
1842384430,"Churchtown, County Cork",1731926457,Onel5969,False,True,17,Disambiguating links to [[Barn owl]] (link changed to [[Western barn owl]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
1842384431,Rahim Beqiri,1731926460,FromCzech,False,True,2,
1842384432,Pakistani cricket team in Australia in 2024–25,1731926458,Sush150,False,False,0,
1842384433,Kingdom of Yugoslavia,1731926456,Shadow4ya,False,False,-28,Undid revision [[Special:Diff/1258143003|1258143003]] by [[Special:Contributions/Kongmobs|Kongmobs]] ([[User talk:Kongmobs|talk]])
1842384434,Robert and Léon Morane,1731926464,Yadsalohcin,False,True,20,ref for Leon succumbing to Spanish Flu
1842384436,User:Cuspssanta/sandbox,1731926465,Cuspssanta,False,False,115,
1842384437,Nature's Valley,1731926463,Onel5969,False,True,17,Disambiguating links to [[Barn owl]] (link changed to [[Western barn owl]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
1842384438,Death of Ayrton Senna,1731926463,Jlwoodwa,False,True,-10,Reverted edits by [[Special:Contributions/81.111.173.5|81.111.173.5]] ([[User talk:81.111.173.5|talk]]) ([[WP:HG|HG]]) (3.4.12)
1842384439,One Day at a Time,1731926468,125.164.20.119,False,False,2,"well, that's better"
1842384441,User:Community Tech bot/Popular pages,1731926466,Community Tech bot,True,False,0,Popular pages report update
1842384443,Apache Spark,1731926469,Meno25,False,False,0,update
1842384445,"Cedar Hall, Maryland",1731926470,Marcus Markup,False,False,-39,"Restored revision 1166692878 by [[Special:Contributions/Ser Amantio di Nicolao|Ser Amantio di Nicolao]] ([[User talk:Ser Amantio di Nicolao|talk]]): Per [[MOS:PRON]], under the ""Appropriate use"" section, it says, ""For English words and names, pronunciation should normally be omitted for common words or when obvious from the spelling"""
1842384446,List of artists who reached number one in New Zealand,1731926472,Everm4e,False,False,0,/* S */
1842384447,Mayor of Thebes,1731926472,BoyTheKingCanDance,False,False,30,Added tags to the page using [[Wikipedia:Page Curation|Page Curation]] (orphan)
1842384448,Public holidays in Pakistan,1731926472,2A02:AA14:2380:E380:8033:E00:979C:FAC3,False,False,0,
1842384449,Talk:Ken Gill (rugby league),1731926473,Jkaharper,False,False,-1,living = no
1842384456,List of birds of Singapore,1731926471,Onel5969,False,True,17,Disambiguating links to [[Barn owl]] (link changed to [[Eastern barn owl]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
1842384457,John C. Glahe,1731926477,FloridaArmy,False,False,-4,
